Beijing	Beijing	Beijing	Beijing	Beijing	Handan	Handan	Handan	Handan	Handan	Zhengzhou	Zhengzhou	Zhengzhou	Zhengzhou	Zhengzhou	Hangzhou	Hangzhou	Hangzhou	Hangzhou	Hangzhou
#	PM2.5	FeT	FeS	%FeS	#	PM2.5	FeT	FeS	%FeS	#	PM2.5	FeT	FeS	%FeS	#	PM2.5	FeT	FeS	%FeS
#	ug/m3	ng/m3	ng/m3	%	#	ug/m3	ng/m3	ng/m3	%	#	ug/m3	ng/m3	ng/m3	%	#	ug/m3	ng/m3	ng/m3	%
12.21-D	120.55072	1078.48805	23.84058	2.21056	12.21-D	117.08213	997.78366	20.80616	2.08524	12.21-D	76.08333	1807.149958	24.80072464	1.372366722	12.21-D	70.71498	1257.53466	15.71558	1.24971
12.21-N	142.36715	1745.65161	34.90942	1.99979	12.21-N	200.01248	1132.02846	15.61321	0.67253	12.21-N	83.41667	894.0203569	21.30434783	2.382982408	12.21-N	92.72947	1037.56125	20.40761	1.96688
12.22-D	74.22222	1611.47497	14.52899	0.9016	12.22-D	229.86473	1454.698	47.43659	3.26092	12.22-D	114.25	1041.266435	21.76630435	2.090368384	12.22-D	84.96135	915.68983	19.7192	2.15348
12.26-N	111.46377	1401.9451	48.4692	3.45728	12.23-D	179.73913	1039.05976	39.90036	3.84004	12.22-N	189	1046.666174	29.51992754	2.82037657	12.22-N	96.55072	1052.25919	19.29348	1.83353
12.27-D	157.81643	1712.44422	71.56703	4.17923	12.23-N	158.11111	1503.53607	35.89674	2.38749	12.23-D	186.5	1347.713207	40.05434783	2.9720231	12.23-D	91.66667	1230.58849	24.33877	1.97782
12.27-N	142.68599	971.02728	61.36775	6.31988	12.26-N	202.66184	1996.02707	29.78261	1.49209	12.23-N	50.91667	812.6284239	7.886775362	0.970526643	12.23-N	89.44928	1029.31132	24.41123	2.37161
12.28-D	180.96618	1436.28854	102.08333	7.10744	12.27-D	294.99034	1377.09397	60.35326	4.38265	12.24-D	#	342.158875	2.420289855	0.707358491	12.24-D	84.98551	749.77191	20.20833	2.69526
12.28-N	202.54589	1207.50313	110.59783	9.15922	12.27-N	296.21256	1330.39729	61.89312	4.65223	12.26-D	103.15385	1588.021471	22.2826087	1.403167974	12.24-N	81.47826	690.72765	20.84239	3.01745
12.29-D	238.80193	1397.26445	148.27899	10.61209	12.28-D	238.6715	976.7764	59.39312	6.08052	12.26-N	143.25	791.8572663	28.95833333	3.657014283	12.25-D	80.9289	950.27684	27.15417	2.8575
12.29-N	269.94203	1161.47056	132.06522	11.37052	12.28-N	261.98551	1256.00696	78.37862	6.2403	12.27-D	180.33333	1945.287428	40.51630435	2.08279269	12.26-D	98.36232	957.10889	21.34058	2.22969
12.30-D	138.22222	2600.82185	50.07246	1.92526	12.29-D	309.80193	1210.82678	116.21377	9.59789	12.27-N	247.83333	1230.286239	40.67934783	3.306494581	12.26-N	101.05314	892.71239	26.58514	2.97802
12.30-N	74.95652	1557.65186	15.37138	0.98683	12.29-N	377.52174	1458.09642	119.38406	8.18767	12.28-D	208.5	953.8552101	41.25905797	4.325505332	12.27-D	91.76812	761.10819	28.34239	3.72383
#	#	#	#	#	12.30-D	212.01932	1293.64951	75.46196	5.83326	12.28-N	268.91667	1285.910139	71.80253623	5.583791124	12.27-N	80.87923	728.99219	22.48188	3.08397
#	#	#	#	#	#	#	#	#	#	12.29-D	356.5	1692.910304	64.04891304	3.783361285	12.29-D	79.24155	602.68913	17.55435	2.91267
#	#	#	#	#	#	#	#	#	#	12.29-N	291.58333	948.3446558	44.4384058	4.685891941	12.29-N	79.30918	433.08936	13.04348	3.01173
#	#	#	#	#	#	#	#	#	#	12.30-D	#	377.6645362	3.536231884	0.936342056	12.30-D	100.13708	634.36638	32.20789	5.07717
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	12.30-N	155.89855	#	#	#
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	12.31-D	112.47343	907.24571	50.29891	5.54413
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	12.31-N	96.343	808.91352	34.42935	4.25625


#:space,no data
