Fe-rich	Fe-rich	S-Fe	S-Fe
-0.2	0	-0.2	0
-0.19	0	-0.19	0
-0.18	0	-0.18	0
-0.17	0	-0.17	0
-0.16	0	-0.16	0
-0.15	0	-0.15	0
-0.14	0	-0.14	0
-0.13	0	-0.13	0
-0.12	0	-0.12	0
-0.11	0	-0.11	0
-0.1	0	-0.1	0
-0.09	0	-0.09	0
-0.08	0	-0.08	0
-0.07	0	-0.07	0
-0.06	0	-0.06	0
-0.05	0	-0.05	2
-0.04	8	-0.04	5
-0.03	27	-0.03	18
-0.02	65	-0.02	68
-0.01	149	-0.01	178
0	283	0	404
0.01	405	0.01	605
0.02	522	0.02	775
0.03	500	0.03	783
0.04	350	0.04	585
0.05	174	0.05	318
0.06	84	0.06	139
0.07	31	0.07	39
0.08	11	0.08	13
0.09	5	0.09	7
0.1	8	0.1	7
0.11	5	0.11	6
0.12	6	0.12	11
0.13	9	0.13	12
0.14	5	0.14	10
0.15	4	0.15	14
0.16	9	0.16	12
0.17	7	0.17	7
0.18	5	0.18	8
0.19	6	0.19	3
0.2	5	0.2	6
0.21	10	0.21	10
0.22	8	0.22	20
0.23	9	0.23	38
0.24	24	0.24	84
0.25	36	0.25	159
0.26	52	0.26	217
0.27	61	0.27	247
0.28	60	0.28	255
0.29	43	0.29	194
0.3	25	0.3	130
0.31	15	0.31	75
0.32	10	0.32	29
0.33	8	0.33	11
0.34	7	0.34	8
0.35	9	0.35	5
0.36	9	0.36	10
0.37	8	0.37	11
0.38	9	0.38	11
0.39	11	0.39	18
0.4	11	0.4	12
0.41	13	0.41	7
0.42	18	0.42	4
0.43	23	0.43	5
0.44	19	0.44	4
0.45	31	0.45	3
0.46	40	0.46	4
0.47	72	0.47	4
0.48	129	0.48	7
0.49	259	0.49	19
0.5	414	0.5	42
0.51	560	0.51	39
0.52	660	0.52	47
0.53	617	0.53	40
0.54	512	0.54	37
0.55	354	0.55	30
0.56	205	0.56	20
0.57	108	0.57	11
0.58	78	0.58	3
0.59	69	0.59	1
0.6	81	0.6	3
0.61	97	0.61	1
0.62	97	0.62	1
0.63	101	0.63	6
0.64	84	0.64	4
0.65	83	0.65	2
0.66	97	0.66	4
0.67	119	0.67	4
0.68	193	0.68	5
0.69	264	0.69	4
0.7	330	0.7	6
0.71	354	0.71	9
0.72	312	0.72	6
0.73	257	0.73	8
0.74	165	0.74	5
0.75	105	0.75	5
0.76	59	0.76	4
0.77	39	0.77	4
0.78	26	0.78	3
0.79	19	0.79	1
0.8	14	0.8	0
0.81	15	0.81	2
0.82	13	0.82	3
0.83	18	0.83	2
0.84	11	0.84	0
0.85	10	0.85	1
0.86	10	0.86	1
0.87	13	0.87	2
