Beijing	Beijing	Beijing	Beijing	Handan	Handan	Handan	Handan	Zhengzhou	Zhengzhou	Zhengzhou	Zhengzhou	Hangzhou	Hangzhou	Hangzhou	Hangzhou
#	%FeS	NO3-/FeT	SO42-/FeT	#	%FeS	NO3-/FeT	SO42-/FeT	#	%FeS	NO3-/FeT	SO42-/FeT	#	%FeS	NO3-/FeT	SO42-/FeT
12.21-D	2.21056	1.25787	0.9823	12.21-D	2.08524	3.31092	15.79778	12.21-D	1.37237	1.20252	4.98926	12.21-D	1.24971	1.73877	9.03146
12.21-N	1.99979	1.01274	6.01679	12.21-N	0.67253	4.73636	17.21962	12.21-N	2.38298	3.48579	12.03297	12.21-N	1.96688	2.46569	18.98542
12.22-D	0.9016	1.35481	7.0978	12.22-D	3.26092	5.60731	20.79964	12.22-D	2.09037	3.04138	26.4558	12.22-D	2.15348	2.51814	15.35149
12.26-N	3.45728	0.67675	1.38101	12.23-D	3.84004	5.27771	25.68361	12.22-N	2.82038	3.95577	25.06024	12.22-N	1.83353	2.56317	14.38244
12.27-D	4.17923	1.10371	4.76885	12.23-N	2.38749	4.03963	9.69067	12.23-D	2.97202	4.43754	22.55704	12.23-D	1.97782	1.95464	10.38937
12.27-N	6.31988	9.40207	17.41933	12.26-N	1.49209	2.40342	9.1019	12.23-N	0.97053	2.37441	4.63387	12.23-N	2.37161	2.6817	10.93056
12.28-D	7.10744	5.02754	14.61909	12.27-D	4.38265	8.24694	27.56365	12.24-D	0.70736	4.06214	7.92393	12.24-D	2.69526	4.61191	22.15243
12.28-N	9.15922	10.5052	32.61201	12.27-N	4.65223	10.67874	25.81675	12.26-D	1.40317	2.49496	10.21161	12.24-N	3.01745	5.27944	17.1359
12.29-D	10.61209	10.29084	30.51356	12.28-D	6.08052	12.94869	34.98717	12.26-N	3.65701	5.6802	25.40776	12.25-D	2.8575	3.20177	11.6956
12.29-N	11.37052	17.28049	38.43424	12.28-N	6.2403	11.06963	28.59078	12.27-D	2.08279	3.40789	16.05159	12.26-D	2.22969	3.795	22.35979
12.30-D	1.92526	2.05117	4.01749	12.29-D	9.59789	18.73469	36.10784	12.27-N	3.30649	5.31455	26.73381	12.26-N	2.97802	3.99265	22.49841
12.30-N	0.98683	0.72783	0.62871	12.29-N	8.18767	22.95314	24.73376	12.28-D	4.32551	10.72052	38.68198	12.27-D	3.72383	4.83166	24.40367
#	#	#	#	12.30-D	5.83326	11.67032	14.85177	12.28-N	5.58379	9.08283	37.98904	12.27-N	3.08397	4.61094	16.76737
#	#	#	#	#	#	#	#	12.29-D	3.78336	4.66556	32.34771	12.29-D	2.91267	5.65793	10.9616
#	#	#	#	#	#	#	#	12.29-N	4.68589	13.85552	35.79602	12.29-N	3.01173	8.70857	24.76293
#	#	#	#	#	#	#	#	12.30-D	0.93634	6.95844	17.97733	12.30-D	5.07717	8.09728	29.02187
#	#	#	#	#	#	#	#	#	#	#	#	12.30-N	#	21.10115	75.2376
#	#	#	#	#	#	#	#	#	#	#	#	12.31-D	5.54413	9.47185	32.25063
#	#	#	#	#	#	#	#	#	#	#	#	12.31-N	4.25625	6.97157	18.57212


#:space,no data
