X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4
24.94028	3.640444451	2.21056	23.06111	22.47043681	2.08524	33.44167	7.407076167	1.37237	70.33194	12.509	1.24971
39.93889	8.118064625	1.99979	24.80972	27.12008934	0.67253	31.05833	19.04929713	2.38298	39.35972	23.9168	1.96688
15.23194	9.888029312	0.9016	25.94583	32.17638555	3.26092	48.44861	32.64751875	2.09037	71.12821	20.38777	2.15348
52.78846	2.798192566	3.45728	39.15	36.37174645	3.84004	36.35556	33.02368356	2.82038	45.42917	19.50878	1.83353
58.0625	7.08929149	4.17923	28.81389	17.89527319	2.38749	50.77361	31.5603981	2.97202	76.75556	14.29865	1.97782
61.7625	36.38231554	6.31988	33.49444	13.99075559	1.49209	31.5125	9.462353748	0.97053	59.42083	16.29397	2.37161
53.49028	24.76143853	7.10744	52.24722	44.21228494	4.38265	24.56667	16.18064887	0.70736	54.26667	31.37626	2.69526
74.63333	53.74581527	9.15922	46.30833	47.36897641	4.65223	35.17222	15.29004564	1.40317	40.10278	27.69478	3.01745
64.17778	51.19686598	10.61209	60.42222	61.06275415	6.08052	33.51944	36.95284437	3.65701	59.81818	18.09913	2.8575
80.54583	73.13328167	11.37052	49.12667	50.85005174	6.2403	50.94444	23.02748565	2.08279	74.44722	29.94979	2.22969
26.25694	8.177393718	1.92526	70.86289	73.73797281	9.59789	44.91528	37.56297428	3.30649	46.60417	30.48371	2.97802
22.64861	2.16007116	0.98683	59.33346	70.82223333	8.18767	68.73472	60.3221571	4.32551	81.26111	34.06699	3.72383
#	#	#	45.63342	38.26958097	5.83326	61.29444	56.32441601	5.58379	71.34444	25.98924	3.08397
#	#	#	#	#	#	73.59722	41.81827318	3.78336	99.36806	22.27746	2.91267
#	#	#	#	#	#	56.17083	63.7143684	4.68589	99.82083	42.18006	3.01173
#	#	#	#	#	#	16.85125	31.99832947	0.93634	99.10152	45.21642	5.07717
#	#	#	#	#	#	#	#	#	97.65972	117.43991	#
#	#	#	#	#	#	#	#	#	95.75556	51.19434	5.54413
#	#	#	#	#	#	#	#	#	60.99872	32.51525	4.25625


#:space, no data
